iter	RMSE
0	120236122.9
1	117629582.1
2	115133766.3
3	113057280.6
4	110738039.8
5	108411551.2
6	106296109
7	104173792
8	102402345.8
9	100298317.7
10	97939751.85
11	96087118.88
12	94442360.78
13	92913798.37
14	91423132.32
15	89549097.97
16	87936011.36
17	86272394.15
18	84535893.69
19	82996476.86
20	81655083.2
21	79972405.3
22	78571330.98
23	77077407.5
24	75625238.77
25	74204498.83
26	72959553.23
27	71527807.83
28	70166218.21
29	69129556.98
30	68004858.29
31	66785768.85
32	65833964.32
33	64776604.37
34	63665459.96
35	62543880.75
36	61418385.19
37	60337806.47
38	59387705.65
39	58405268.57
40	57598645.88
41	56691263.71
42	55821831.61
43	55055287.96
44	54161735.13
45	53314332.36
46	52464568.83
47	51648407.25
48	50885917.95
49	50256599.07
50	49613615.46
51	48904532.44
52	48138936.18
53	47515173.46
54	46897625.78
55	46574638.11
56	45933195.51
57	45300855.02
58	45159535.82
59	44663117.18
60	44116288.34
61	43493808.41
62	43302604.5
63	42696052.62
64	42248386.64
65	41941830.27
66	41348036.59
67	40794670.93
68	40266962.62
69	39729373.83
70	39224054.19
71	38782406.61
72	38186831.9
73	37743888.55
74	37213018.69
75	36704206.66
76	36271221.33
77	36104797.7
78	35961253.18
79	35500246.3
80	35101210.83
81	34899607.02
82	34571891.55
83	34364749.62
84	34177777.36
85	33979694.94
86	33561609.27
87	33252513.11
88	33135155.6
89	32798831.94
90	32513352.47
91	32106396.74
92	31888552.33
93	31499597.55
94	31163129.7
95	30880938.91
96	30573477.22
97	30440315.62
98	30060232.4
99	29811036.4
100	29453777.54
101	29305292.62
102	29155210.12
103	28961185.71
104	28833579.39
105	28468802.09
106	28337124.43
107	28142784.11
108	28003690.82
109	27691459.82
110	27572745.6
111	27274163.04
112	27086847.97
113	26714757.23
114	26599586.38
115	26273756.58
116	26104306.2
117	25915348.57
118	25630921.37
119	25313658.81
120	25103262.79
121	24808373.86
122	24590635.47
123	24476497.91
124	24305178.23
125	24123398.35
126	23789234.92
127	23639795.78
128	23478547.78
129	23307593.5
130	23199693.68
131	23103544.25
132	22966734.4
133	22657870.76
134	22345126.2
135	22236200.56
136	22063191.91
137	21914129.01
138	21616067.79
