,ts,Free RAM
0,1725972300.0,1022978003325.0233
1,1725972600.0,1022705239381.3334
2,1725972900.0,1022433248187.7333
3,1725973200.0,1022332844782.9333
4,1725973500.0,1022379766784.0
5,1725973800.0,1022270331835.7333
6,1725974100.0,1022186284714.6666
7,1725974400.0,1022070817860.2667
8,1725974700.0,1021983245448.5333
9,1725975000.0,1021908306329.6
10,1725975300.0,1021917218338.1333
11,1725975600.0,1021825874261.3334
12,1725975900.0,1021798683033.6
13,1725976200.0,1021672658602.6666
14,1725976500.0,1021607848823.4667
15,1725976800.0,1021660470749.8667
16,1725977100.0,1022016675089.0667
17,1725977400.0,1022029940667.7333
18,1725977700.0,1021925284864.0
19,1725978000.0,1021887769463.4667
20,1725978300.0,1021764712925.8667
21,1725978600.0,1021689773397.3334
22,1725978900.0,1021692886084.2667
23,1725979200.0,1021668236902.4
24,1725979500.0,1021673381956.2667
25,1725979800.0,1021490556245.3334
26,1725980100.0,1021443131460.2667
27,1725980400.0,1021531494400.0
28,1725980700.0,1021516116992.0
29,1725981000.0,1021579162487.4667
30,1725981300.0,1021448046182.4
31,1725981600.0,1021529732915.2
32,1725981900.0,1021538747323.7333
33,1725982200.0,1021535446630.4
34,1725982500.0,1021447640814.9333
35,1725982800.0,1021402518732.8
36,1725983100.0,1021550690304.0
37,1725983400.0,1021445532535.4667
38,1725983700.0,1021533994325.3334
39,1725984000.0,1021626880819.2
40,1725984300.0,1021499592840.5333
41,1725984600.0,1021326568106.6666
42,1725984900.0,1021472833194.6666
43,1725985200.0,1021400311603.2
44,1725985500.0,1021254698734.9333
45,1725985800.0,1021342494173.8667
46,1725986100.0,1021233738274.1333
47,1725986400.0,1021173672891.7333
48,1725986700.0,1021254991598.9333
49,1725987000.0,1021229765222.4
50,1725987300.0,1021172236151.4667
51,1725987600.0,1020946437188.2667
52,1725987900.0,1021084128187.7333
53,1725988200.0,1021325650739.2
54,1725988500.0,1021189243972.2667
55,1725988800.0,1020721952426.6666
56,1725989100.0,1020666710493.8667
57,1725989400.0,1020622569949.8667
58,1725989700.0,1020245621077.3334
59,1725990000.0,1019659371383.4667
60,1725990300.0,1019678387677.8667
61,1725990600.0,1019016141892.2667
62,1725990900.0,1018215332795.7333
63,1725991200.0,1017348468804.2667
64,1725991500.0,1016519310199.4667
65,1725991800.0,1015797012070.4
66,1725992100.0,1015038531515.7333
67,1725992400.0,1014197032004.2667
68,1725992700.0,1013451694489.6
69,1725993000.0,1012621634286.9333
70,1725993300.0,1011831771545.6
71,1725993600.0,1011210048580.2667
72,1725993900.0,1010545826747.7333
73,1725994200.0,1009668968857.6
74,1725994500.0,1008927300266.6666
75,1725994800.0,1007907273454.9333
76,1725995100.0,1007148710638.9333
77,1725995400.0,1006626597819.7333
78,1725995700.0,1005802124492.8
79,1725996000.0,1004953240166.4
80,1725996300.0,1004245931758.9333
81,1725996600.0,1003505221973.3334
82,1725996900.0,1002883836654.9333
83,1725997200.0,1002042128725.3334
84,1725997500.0,1001114911197.8667
85,1725997800.0,1000418162619.7333
86,1725998100.0,999539489314.1333
87,1725998400.0,998816514594.1333
88,1725998700.0,998161171729.0667
89,1725999000.0,997308588646.4
90,1725999300.0,996292464844.8
91,1725999600.0,995437450581.3334
92,1725999900.0,994752024576.0
93,1726000200.0,994005593565.8667
94,1726000500.0,993220072038.4
95,1726000800.0,992484540552.5333
96,1726001100.0,991501494886.4
97,1726001400.0,990603240038.4
98,1726001700.0,990094268279.4667
99,1726002000.0,989307716334.9333
100,1726002300.0,988255428130.1333
101,1726002600.0,987463776119.4667
102,1726002900.0,986660712789.3334
103,1726003200.0,985960920405.3334
104,1726003500.0,985224961024.0
105,1726003800.0,984386937446.4
106,1726004100.0,983477078835.2
107,1726004400.0,982258382301.8667
108,1726004700.0,981680116940.8
109,1726005000.0,980846436283.7333
110,1726005300.0,979929767458.1333
111,1726005600.0,978989791095.4667
112,1726005900.0,977908419106.1333
113,1726006200.0,977232747724.8
114,1726006500.0,976125015244.8
115,1726006800.0,975206120789.3334
116,1726007100.0,974385604266.6666
117,1726007400.0,973410994244.2667
118,1726007700.0,972523007249.0667
119,1726008000.0,971311365870.9333
120,1726008300.0,970510668663.4667
121,1726008600.0,970141283328.0
122,1726008900.0,969313286212.2667
123,1726009200.0,967960395502.9333
124,1726009500.0,967350386278.4
125,1726009800.0,966680813090.1333
126,1726010100.0,965340204373.3334
127,1726010400.0,964618426231.4667
128,1726010700.0,963875041621.3334
129,1726011000.0,963331036364.8
130,1726011300.0,962239003511.4667
131,1726011600.0,960947689403.7333
132,1726011900.0,960095128849.0667
133,1726012200.0,959262876535.4667
134,1726012500.0,958381573597.8667
135,1726012800.0,957607792366.9333
136,1726013100.0,956545830775.4667
137,1726013400.0,955637797273.6
138,1726013700.0,955097411584.0
139,1726014000.0,954253346679.4667
140,1726014300.0,953247661738.6666
141,1726014600.0,952360052121.6
142,1726014900.0,951167808238.9333
143,1726015200.0,950101390062.9333
144,1726015500.0,949471781137.0667
145,1726015800.0,948375272789.3334
146,1726016100.0,947298087116.8
147,1726016400.0,946047543910.4
148,1726016700.0,945437079688.5333
149,1726017000.0,944090859042.1333
150,1726017300.0,943117069380.2667
151,1726017600.0,942589169459.2
152,1726017900.0,941672830429.8667
153,1726018200.0,940631167590.4
154,1726018500.0,939686822502.4
155,1726018800.0,938832549410.1333
156,1726019100.0,938331494809.6
157,1726019400.0,937574849194.6666
158,1726019700.0,936817625088.0
159,1726020000.0,935773666030.9333
160,1726020300.0,934453142732.8
161,1726020600.0,933421770410.6666
162,1726020900.0,932777696187.7333
163,1726021200.0,932153741175.4667
164,1726021500.0,931115322231.4667
165,1726021800.0,930372009915.7333
166,1726022100.0,929398053751.4667
167,1726022400.0,928284329096.5333
168,1726022700.0,927261083989.3334
169,1726023000.0,926213493145.6
170,1726023300.0,925129327206.4
171,1726023600.0,924189004322.1333
172,1726023900.0,923508627456.0
173,1726024200.0,922539538705.0667
174,1726024500.0,921522931712.0
175,1726024800.0,920842405614.9333
176,1726025100.0,920159234798.9333
177,1726025400.0,919443567342.9333
178,1726025700.0,918624907195.7333
179,1726026000.0,917731775283.2
180,1726026300.0,916808351607.4667
181,1726026600.0,915802388206.9333
182,1726026900.0,914744983347.2
183,1726027200.0,913687888486.4
184,1726027500.0,912604835089.0667
185,1726027800.0,911727527867.7333
186,1726028100.0,910602607138.1333
187,1726028400.0,909577824324.2667
188,1726028700.0,908583268898.1333
189,1726029000.0,907641515554.1333
190,1726029300.0,906553112029.8667
191,1726029600.0,905552248968.5333
192,1726029900.0,904503828889.6
193,1726030200.0,903542503355.7333
194,1726030500.0,902640231355.7333
195,1726030800.0,901573042858.6666
196,1726031100.0,900372673467.7333
197,1726031400.0,899587984930.1333
198,1726031700.0,898398022724.2667
199,1726032000.0,897279100381.8667
200,1726032300.0,896542044228.2667
201,1726032600.0,895763834060.8
202,1726032900.0,895158067950.9333
203,1726033200.0,894627744768.0
204,1726033500.0,893955734323.2
205,1726033800.0,893166317090.1333
206,1726034100.0,892349621657.6
207,1726034400.0,891475279121.0667
208,1726034700.0,890654419012.2667
209,1726035000.0,889724280968.5333
210,1726035300.0,888843126647.4667
211,1726035600.0,887881764727.4667
212,1726035900.0,887006309785.6
213,1726036200.0,886044159249.0667
214,1726036500.0,885111564219.7333
215,1726036800.0,884090392849.0667
216,1726037100.0,883147007931.7333
217,1726037400.0,882216170086.4
218,1726037700.0,881236133478.4
219,1726038000.0,880441803980.8
220,1726038300.0,879356184849.0667
221,1726038600.0,878199873467.7333
222,1726038900.0,877188080366.9333
223,1726039200.0,876293071462.4
224,1726039500.0,875124961484.8
225,1726039800.0,874352943240.5333
226,1726040100.0,872993788996.2667
227,1726040400.0,871892935338.6666
228,1726040700.0,871139721011.2
229,1726041000.0,870486283195.7333
230,1726041300.0,869826692164.2667
231,1726041600.0,869161934916.2667
232,1726041900.0,868420302643.2
233,1726042200.0,867960248388.2667
234,1726042500.0,867124059682.1333
235,1726042800.0,866341948279.4667
236,1726043100.0,865820062651.7333
237,1726043400.0,865004956125.8667
238,1726043700.0,864290990489.6
239,1726044000.0,863812075724.8
240,1726044300.0,863013357568.0
241,1726044600.0,862846451780.2667
242,1726044900.0,862205615035.7333
243,1726045200.0,861957853730.1333
244,1726045500.0,861490656665.6
245,1726045800.0,860886392149.3334
246,1726046100.0,860483700804.2667
247,1726046400.0,860123007726.9333
248,1726046700.0,860359667916.8
249,1726047000.0,860129208593.0667
250,1726047300.0,859482060390.4
251,1726047600.0,858838678254.9333
252,1726047900.0,858259673565.8667
253,1726048200.0,857674891264.0
254,1726048500.0,857167901627.7333
255,1726048800.0,856603863517.8667
256,1726049100.0,855980191744.0
257,1726049400.0,855357896635.7333
258,1726049700.0,854794499072.0
259,1726050000.0,854265164390.4
260,1726050300.0,853697857740.8
261,1726050600.0,853194549248.0
262,1726050900.0,852723760196.2667
263,1726051200.0,852040654370.1333
264,1726051500.0,851354293657.6
265,1726051800.0,851082157738.6666
266,1726052100.0,850507599940.2667
267,1726052400.0,849806365422.9333
268,1726052700.0,849265812411.7333
269,1726053000.0,848823915315.2
270,1726053300.0,848136526165.3334
271,1726053600.0,847827306291.2
272,1726053900.0,847214925755.7333
273,1726054200.0,846500323259.7333
274,1726054500.0,845745650688.0
275,1726054800.0,845093144917.3334
276,1726055100.0,844570391825.0667
277,1726055400.0,844156891613.8667
278,1726055700.0,843565020637.8667
279,1726056000.0,843004034048.0
280,1726056300.0,842584143257.6
281,1726056600.0,841854526122.6666
282,1726056900.0,841271430007.4667
283,1726057200.0,840511477486.9333
284,1726057500.0,840043122346.6666
285,1726057800.0,839486953608.5333
286,1726058100.0,838954162995.2
287,1726058400.0,838198063786.6666
288,1726058700.0,837883004450.1333
289,1726059000.0,837053439726.9333
290,1726059300.0,836690754764.8
291,1726059600.0,836312892279.4667
292,1726059900.0,835559874218.6666
293,1726060200.0,834789629542.4
294,1726060500.0,834865824631.4667
295,1726060800.0,834297202824.5333
296,1726061100.0,833230397235.2
297,1726061400.0,833034475178.6666
298,1726061700.0,832103123217.0667
299,1726062000.0,831449871223.4667
300,1726062300.0,830936280746.6666
301,1726062600.0,830660054968.1404
302,1726062900.0,829716049578.6666
303,1726063200.0,829693365248.0
304,1726063500.0,828950834585.6
305,1726063800.0,828336201796.2667
306,1726064100.0,827760281190.4
307,1726064400.0,827457523438.9333
308,1726064700.0,827035091763.2
309,1726065000.0,826460169079.4667
310,1726065300.0,826095823530.6666
311,1726065600.0,825847082188.8
312,1726065900.0,825263069388.8
313,1726066200.0,824501362005.3334
314,1726066500.0,824153042875.7333
315,1726066800.0,824300452932.2667
316,1726067100.0,824309309576.5333
317,1726067400.0,823813075353.6
318,1726067700.0,824006119628.8
319,1726068000.0,823516487884.8
320,1726068300.0,823428272947.2
321,1726068600.0,823318394129.0667
322,1726068900.0,823375881898.6666
323,1726069200.0,823295240396.8
324,1726069500.0,823204414190.9333
325,1726069800.0,823361092061.8667
326,1726070100.0,823076756616.5333
327,1726070400.0,823147340390.4
328,1726070700.0,823005221683.2
329,1726071000.0,822504035942.4
330,1726071300.0,822613216324.2667
331,1726071600.0,822675506995.2
332,1726071900.0,822782435805.8667
333,1726072200.0,822431671432.5333
334,1726072500.0,822614976307.2
335,1726072800.0,821956493585.0667
336,1726073100.0,822035294344.5333
337,1726073400.0,822000790528.0
338,1726073700.0,822214212949.3334
339,1726074000.0,822297533440.0
340,1726074300.0,822463996859.7333
341,1726074600.0,821871721062.4
342,1726074900.0,822055443114.6666
343,1726075200.0,821928116906.6666
344,1726075500.0,822507076608.0
345,1726075800.0,822448781448.5333
346,1726076100.0,822609292356.2667
347,1726076400.0,822567687645.8667
348,1726076700.0,822364781841.0667
349,1726077000.0,822522621474.1333
