,ts,Power MW
0,1725972300.0,230749756.74418604
1,1725972600.0,230922669.91666666
2,1725972900.0,231865591.93333334
3,1725973200.0,
4,1725973500.0,
5,1725973800.0,
6,1725974100.0,230803650.36666667
7,1725974400.0,232201467.16666666
8,1725974700.0,232882061.5
9,1725975000.0,
10,1725975300.0,230052264.55
11,1725975600.0,
12,1725975900.0,231474338.36666667
13,1725976200.0,230980275.36666667
14,1725976500.0,
15,1725976800.0,229556789.45
16,1725977100.0,229820250.45
17,1725977400.0,232216605.06666666
18,1725977700.0,
19,1725978000.0,
20,1725978300.0,230783374.93333334
21,1725978600.0,230722505.53333333
22,1725978900.0,232274524.13333333
23,1725979200.0,
24,1725979500.0,232740388.38333333
25,1725979800.0,228828844.48333332
26,1725980100.0,229105646.93333334
27,1725980400.0,
28,1725980700.0,231505280.16666666
29,1725981000.0,230499468.91666666
30,1725981300.0,
31,1725981600.0,230064650.78333333
32,1725981900.0,230021556.53333333
33,1725982200.0,
34,1725982500.0,231413667.45
35,1725982800.0,
36,1725983100.0,230273882.01666668
37,1725983400.0,230504459.6
38,1725983700.0,231439501.65
39,1725984000.0,232511271.55
40,1725984300.0,231259939.56666666
41,1725984600.0,229846570.55
42,1725984900.0,
43,1725985200.0,
44,1725985500.0,231474559.03333333
45,1725985800.0,
46,1725986100.0,229816518.76666668
47,1725986400.0,231599932.83333334
48,1725986700.0,232987639.48333332
49,1725987000.0,232779381.88333333
50,1725987300.0,304953763.48333335
51,1725987600.0,
52,1725987900.0,319504088.45
53,1725988200.0,321646258.03333336
54,1725988500.0,
55,1725988800.0,320633872.45
56,1725989100.0,319023503.01666665
57,1725989400.0,
58,1725989700.0,
59,1725990000.0,319865194.93333334
60,1725990300.0,318780781.21666664
61,1725990600.0,318933103.46666664
62,1725990900.0,318324459.76666665
63,1725991200.0,
64,1725991500.0,319530365.05
65,1725991800.0,318881277.95
66,1725992100.0,317010168.6666667
67,1725992400.0,
68,1725992700.0,320511739.0833333
69,1725993000.0,
70,1725993300.0,
71,1725993600.0,317818861.01666665
72,1725993900.0,320418855.73333335
73,1725994200.0,323361786.45
74,1725994500.0,322401782.18333334
75,1725994800.0,
76,1725995100.0,
77,1725995400.0,322379234.18333334
78,1725995700.0,322247502.2
79,1725996000.0,
80,1725996300.0,323810318.01666665
81,1725996600.0,
82,1725996900.0,
83,1725997200.0,
84,1725997500.0,322063031.1166667
85,1725997800.0,322779000.3333333
86,1725998100.0,321191453.53333336
87,1725998400.0,
88,1725998700.0,323721288.8666667
89,1725999000.0,
90,1725999300.0,324773015.1333333
91,1725999600.0,
92,1725999900.0,322166361.3333333
93,1726000200.0,
94,1726000500.0,
95,1726000800.0,
96,1726001100.0,323139305.25
97,1726001400.0,322550590.6666667
98,1726001700.0,
99,1726002000.0,328945051.6666667
100,1726002300.0,327882262.4
101,1726002600.0,328178573.25
102,1726002900.0,
103,1726003200.0,
104,1726003500.0,
105,1726003800.0,326495175.0833333
106,1726004100.0,329719002.6666667
107,1726004400.0,
108,1726004700.0,
109,1726005000.0,326305245.71666664
110,1726005300.0,
111,1726005600.0,330183346.85
112,1726005900.0,327996189.95
113,1726006200.0,328146558.8
114,1726006500.0,
115,1726006800.0,
116,1726007100.0,331171629.2
117,1726007400.0,328969298.46666664
118,1726007700.0,326663322.53333336
119,1726008000.0,
120,1726008300.0,327038461.3833333
121,1726008600.0,
122,1726008900.0,326375599.01666665
123,1726009200.0,328848906.75
124,1726009500.0,329740219.8333333
125,1726009800.0,331564145.46666664
126,1726010100.0,334613670.0
127,1726010400.0,
128,1726010700.0,333883875.23333335
129,1726011000.0,336409526.8666667
130,1726011300.0,333896626.0
131,1726011600.0,
132,1726011900.0,
133,1726012200.0,
134,1726012500.0,332213773.81666666
135,1726012800.0,332564940.76666665
136,1726013100.0,332628816.51666665
137,1726013400.0,335323900.3833333
138,1726013700.0,
139,1726014000.0,
140,1726014300.0,333483812.73333335
141,1726014600.0,337096518.6
142,1726014900.0,335041536.1666667
143,1726015200.0,
144,1726015500.0,
145,1726015800.0,
146,1726016100.0,335399813.3666667
147,1726016400.0,334926407.1333333
148,1726016700.0,331065766.06666666
149,1726017000.0,
150,1726017300.0,337114355.3666667
151,1726017600.0,
152,1726017900.0,
153,1726018200.0,332847965.55
154,1726018500.0,335118859.93333334
155,1726018800.0,
156,1726019100.0,332666291.1666667
157,1726019400.0,332834177.0833333
158,1726019700.0,
159,1726020000.0,337391621.55
160,1726020300.0,
161,1726020600.0,333526078.5
162,1726020900.0,334263277.8
163,1726021200.0,
164,1726021500.0,
165,1726021800.0,334233648.9
166,1726022100.0,
167,1726022400.0,
168,1726022700.0,339005432.96666664
169,1726023000.0,335552578.96666664
170,1726023300.0,
171,1726023600.0,335114140.98333335
172,1726023900.0,
173,1726024200.0,336303797.55
174,1726024500.0,332562385.28333336
175,1726024800.0,331131095.65
176,1726025100.0,
177,1726025400.0,
178,1726025700.0,332785533.25
179,1726026000.0,
180,1726026300.0,333768882.15
181,1726026600.0,335324795.5
182,1726026900.0,
183,1726027200.0,
184,1726027500.0,334841998.25
185,1726027800.0,336031637.2
